NAME                      CPU %               MEM USAGE / LIMIT     MEM %
sockshop.front-end-node   74.93%              83.54MiB / 7.706GiB   1.06%
sockshop.catalogue-go     5.24%               6.242MiB / 7.706GiB   0.08%
sockshop.orders-java      28.54%              617.2MiB / 7.706GiB   7.82%
sockshop.user-go          14.03%              11.36MiB / 7.706GiB   0.14%
sockshop.carts-java       24.85%              526.2MiB / 7.706GiB   6.67%
sockshop.shipping-java    4.24%               756.4MiB / 7.706GiB   9.59%
sockshop.payment-go       1.14%               4.566MiB / 7.706GiB   0.06%
sockshop.edge-router      13.67%              15.77MiB / 7.706GiB   0.20%
sockshop.queue-master     1.66%               815.2MiB / 7.706GiB   10.33%
sockshop.catalogue-db     5.62%               224.8MiB / 7.706GiB   2.85%
sockshop.user-db          8.14%               21.98MiB / 7.706GiB   0.28%
sockshop.carts-db         17.35%              43.3MiB / 7.706GiB    0.55%
sockshop.rabbitmq         1.77%               45.36MiB / 7.706GiB   0.57%
sockshop.zipkin           1.48%               918.8MiB / 7.706GiB   11.64%
sockshop.orders-db        0.95%               51.34MiB / 7.706GiB   0.65%
